Reporte de nombres indefinidos
================================================================================

/Users/pablo/Desktop/toni/app/api_keys.py:611: 'x' no definido
/Users/pablo/Desktop/toni/app/audit/files_loader.py:25: 'ext' no definido
/Users/pablo/Desktop/toni/app/cache_warming.py:183: 'false' no definido
/Users/pablo/Desktop/toni/app/cache_warming.py:268: 'v' no definido
/Users/pablo/Desktop/toni/app/email_service.py:79: '__file__' no definido
/Users/pablo/Desktop/toni/app/error_handling.py:114: 'x' no definido
/Users/pablo/Desktop/toni/app/exceptions.py:462: 'loc' no definido
/Users/pablo/Desktop/toni/app/health_checks.py:319: 'c' no definido
/Users/pablo/Desktop/toni/app/idempotency_decorator.py:35: 'arg' no definido
/Users/pablo/Desktop/toni/app/metrics.py:306: 'ep' no definido
/Users/pablo/Desktop/toni/app/metrics.py:305: 'error' no definido
/Users/pablo/Desktop/toni/app/metrics.py:304: 'host' no definido
/Users/pablo/Desktop/toni/app/metrics.py:669: 'metrics_manager' no definido
/Users/pablo/Desktop/toni/app/metrics.py:601: 'metrics_recorder' no definido
/Users/pablo/Desktop/toni/app/metrics.py:307: 'sc' no definido
/Users/pablo/Desktop/toni/app/models.py:703: 'scope' no definido
/Users/pablo/Desktop/toni/app/pii_mask.py:116: 'm' no definido
/Users/pablo/Desktop/toni/app/providers.py:1011: 'c' no definido
/Users/pablo/Desktop/toni/app/providers.py:2134: 'keyword' no definido
/Users/pablo/Desktop/toni/app/providers.py:1852: 'role' no definido
/Users/pablo/Desktop/toni/app/providers.py:2104: 'suffix' no definido
/Users/pablo/Desktop/toni/app/providers.py:2302: 'tld' no definido
/Users/pablo/Desktop/toni/app/routes/validation_routes.py:2907: 'c' no definido
/Users/pablo/Desktop/toni/app/routes/validation_routes.py:2705: 'ct' no definido
/Users/pablo/Desktop/toni/app/routes/validation_routes.py:2186: 'ext' no definido
/Users/pablo/Desktop/toni/app/routes/validation_routes.py:3198: 'r' no definido
/Users/pablo/Desktop/toni/app/security/abuse_detection.py:153: 'domain' no definido
/Users/pablo/Desktop/toni/app/security/input_validation.py:48: 'char' no definido
/Users/pablo/Desktop/toni/app/security/sanitization.py:72: 'c' no definido
/Users/pablo/Desktop/toni/app/security/sanitization.py:115: 'char' no definido
/Users/pablo/Desktop/toni/app/security/secrets.py:202: 'c' no definido
/Users/pablo/Desktop/toni/app/validation.py:1331: 'c' no definido
/Users/pablo/Desktop/toni/app/validation.py:1646: 'tld' no definido
/Users/pablo/Desktop/toni/app/validation.py:624: 'x' no definido
